UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,FAXTELE 
101435,"Huntingdon College","1500 East Fairview Avenue","Montgomery","AL","36106-2148", 1, 5,"J. Cameron West","President","3348334222","630288841","00101900",1,"www.huntingdon.edu","www.huntingdon.edu/futureStudentsMain.aspx?id=1582","www.huntingdon.edu/futureStudents.aspx?id=1702","www.huntingdon.edu/futureStudentForm.aspx?ekfrm=4062","hawk.huntingdon.edu/oiac/netpricecalculator/npcalc.htm",2,1,2,5,1,2,30,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,9,-1,11,2,7,31,2,2,33860,1,388,-2,2," ","3348334347"
101453,"Heritage Christian University","3625 Helton Dr","Florence","AL","35630-9977", 1, 5,"Dennis Jones","President","2567666610","237013287","02199700",1,"www.hcu.edu","www.hcu.edu/admissions","www.hcu.edu/financialaid","www.hcu.edu/admissions/applynow","www.hcu.edu/share/news/npcalc.htm",2,1,2,7,1,1,20,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,24,-2,-2,-2,5,-2,51,2,1,22520,1,-2,-2,2," ","2567600981"
101462,"J F Drake State Community and Technical College","3421 Meridian St N","Huntsville","AL","35811", 1, 5,"Helen T. McAlpine Ed.D.","President","2565398161","631002142","00526000",1,"www.drakestate.edu","www.drakestate.edu/admissions.aspx","www.drakestate.edu/admissions/financial_aid.aspx","www.drakestate.edu","www.drakestate.edu/admissions/net_price_calculator.aspx",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Drake State",4,1,1,-1,2,1,2,40,2,2,26620,1,290,-2,1,"Alabama College System","2565513142"
101471,"J F Ingram State Technical College","5375 Ingram Rd","Deatsville","AL","36022", 1, 5,"Hank Dasinger","President","33428551773249","630506768","03002500",5,"www.istc.edu"," "," "," ","nces.ed.gov/ipeds/netpricecalculator/Npc_2.aspx",4,2,1,3,1,2,40,1,2,2,2,2,42,0,"A ",-2,-2,"-2",1,1,2,6,1," ",4,1,1,-1,3,1,2,40,2,1,33860,1,388,-2,1,"Alabama College System","3345144050"
101480,"Jacksonville State University","700 Pelham Road North","Jacksonville","AL","36265", 1, 5,"William Meehan","President","2567825781","636001099","00102000",1,"www.jsu.edu/","www.jsu.edu/admissions/","www.jsu.edu/finaid/","www.jsu.edu/admissions/forms.html","www.jsu.edu/finaid/",1,1,1,9,1,1,12,1,2,2,2,2,23,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,13,4,6,3,12,21,2,3,11500,1,-2,-2,2," ","2567828146"
101499,"Jefferson Davis Community College","220 Alco Dr","Brewton","AL","36426", 1, 5,"Dr. Daniel Bain","President","2518674832","630502384","00102100",1,"www.jdcc.edu","www.jdcc.edu/admissions/","www.jdcc.edu/finaid/","www.jdcc.edu/applyonline/","www.jdcc.edu/netpricecalculator/",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"JDCC",4,1,1,-1,2,1,2,40,2,2,-2,-2,-2,-2,1,"Alabama College System","2518091527"
101505,"Jefferson State Community College","2601 Carson Rd","Birmingham","AL","35215-3098", 1, 5,"Dr. Judy Merritt","President","2058531200","630501357","00102200",1,"www.jeffstateonline.com","www.jeffstateonline.com/Admissions/index.aspx","www.jeffstateonline.com/FinancialAid/index.aspx","www.jeffstateonline.com/Admissions/ApplicationProcess.aspx","www.jeffstateonline.com/FinancialAid/NetPriceCalculator/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Jeff State | JSCC | Jefferson State",4,7,1,-1,1,1,4,40,2,3,13820,1,142,-2,1,"Alabama College System","2058567928"
101514,"John C Calhoun State Community College","6250 U S Highway 31 N","Tanner","AL","35671", 1, 5,"Dr. Marilyn C. Beck","President","2563062500","630505871","00101300",1,"www.calhoun.edu","www.calhoun.edu/admissions.aspx","www.calhoun.edu/student_services/student_financial_services.aspx","https://banssb.calhoun.edu/PROD/twbkwbis.P_GenMenu?name=homepage","calhoun.studentaidcalculator.com/",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Calhoun Community College",4,3,1,-1,2,1,4,40,2,4,26620,1,290,-2,1,"Alabama College System","2563062877"
101541,"Judson College","302 Bibb St","Marion","AL","36756", 1, 5,"David E Potts","President","3346835100","630288850","00102300",1,"www.judson.edu","www.judson.edu","www.judson.edu","www.judson.edu","www.judson.edu",2,1,2,5,1,2,30,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,21,3,-1,8,2,7,31,2,1,-2,-2,-2,-2,2," ","3346835147"
101569,"Lawson State Community College-Birmingham Campus","3060 Wilson Rd SW","Birmingham","AL","35221-1717", 1, 5,"Perry W Ward","President","2059252515","630641064","00105900",1,"www.lawsonstate.edu"," "," "," ","www.lawsonstate.edu/financialaid/npc/npcalc.htm",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,7,1,-1,2,1,3,40,2,2,13820,1,142,-2,1,"Alabama College System","2059231649"
101587,"University of West Alabama","Station One","Livingston","AL","35470", 1, 5,"Dr. Richard Holland","President","2056523400","636001100","00102400",1,"www.uwa.edu","admissions.uwa.edu/","admissions.uwa.edu/FinancialAid.asp"," ","secure.uwa.edu/calculator/npcalc.htm",1,1,1,8,1,1,20,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,10,1,8,5,13,21,2,2,-2,-2,-2,-2,2," ","2056523708"
101602,"Lurleen B Wallace Community College","1000 Dannelly Blvd.","Andalusia","AL","36420-1418", 1, 5,"Herbert H. J. Riedel, Ph.D.","President","3342226591","630576487","00898800",1,"www.lbwcc.edu","www.lbwcc.edu/student_services/admissions/registration.aspx","www.lbwcc.edu/student_services/admissions.aspx"," ","www.lbwcc.edu/financial_aid/2009-2010_net_price_calculator.aspx",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Lurleen B. Wallace Community College |LBW Community College |LBWCC",4,1,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,"Alabama Community College System","3348812300"
101648,"Marion Military Institute","1101 Washington St","Marion","AL","36756-3207", 1, 5,"Col David J. Mollahan","President","8006641842","630288853","00102600",1,"www.marionmilitary.edu","www.marionmilitary.edu/admissions/index.da","marionmilitary.edu/admissions/admissions-financial.da","marionmilitary.edu/admissions/admissions-apply.da","www.marionmilitary.edu/admissions/netcalc/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,4,1,1,40,2,1,-2,-2,-2,-2,1,"Alabama College System","3346832383"
101675,"Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064-2621", 1, 5,"George T. French, Jr.","President","20592910001645","630400608","00102800",1,"www.miles.edu","miles.edu","miles.edu","miles.edu","miles.edu",2,1,2,5,1,2,30,1,1,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,15,-1,9,2,10,32,2,2,13820,1,142,-2,2," ","2059291426"
101693,"University of Mobile","5735 College Parkway Drive","Mobile","AL","36613-2842", 1, 5,"Mark Foley","President","2516755990","630417508","00102900",1,"www.umobile.edu","www.umobile.edu/admissions/","www.umobile.edu/financialaid/","www.umobile.edu/Admissions/Undergraduate/ApplyNow.aspx","umportal.umobile.edu/ICS/Future_Students/Net_Price_Calculator.jnz",2,1,2,7,1,1,20,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,10,6,11,3,10,21,2,2,33660,1,380,-2,2," ","2514422523"
101709,"University of Montevallo","Station 6001","Montevallo","AL","35115-6000", 1, 5,"John W. Stewart III","President","2056656155","636000720","00100400",1,"www.montevallo.edu","www.montevallo.edu/admissions/","www.montevallo.edu/finaid/","www.montevallo.edu/admissions/ApplicationProcess/","www.montevallo.edu/finaid/NetPriceCalculator/",1,1,1,8,1,1,20,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,19,10,6,10,4,10,21,2,2,13820,1,142,-2,2," "," "
101736,"Northwest-Shoals Community College","800 George Wallace Blvd","Muscle Shoals","AL","35661", 1, 5,"Humphrey Lee","President","2563315200","630513822","00569700",1,"www.nwscc.edu","www.nwscc.edu/contactus.html","www.nwscc.edu/financialaid/financialaid.html","www.nwscc.edu/contactus.html","nwscc.edu/financialaid/netpricecalculator/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,2,1,-1,2,1,3,40,2,2,22520,1,-2,-2,1,"Alabama College System","2563315222"
101879,"University of North Alabama","One Harrison Plaza","Florence","AL","35632-0001", 1, 5,"Wm. G. Cale, Jr.","President","2567654100","636000893","00101600",1,"www.una.edu","www.una.edu/admission","www.una.edu/sfins","www.applyweb.com/aw?una","studentnpc.collegeboard.org/",1,1,1,8,1,1,20,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,13,7,11,4,12,21,2,3,22520,1,-2,-2,2," ","2567654960"
101897,"Northeast Alabama Community College","138  Highway 35","Rainsville","AL","35986", 1, 5,"J. David Campbell","President","20563844182201","630504999","00103100",1,"www.nacc.edu","www.nacc.edu","www.nacc.edu","www.nacc.edu","www.nacc.edu",4,2,1,3,1,2,40,1,2,2,2,2,42,1,"A ",-2,-2,"-2",1,1,1,1,1,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4,2,1,-1,2,1,3,40,2,2,42460,2,-2,-2,1,"Alabama College System","2562286861"
101912,"Oakwood University","7000 Adventist Blvd NW","Huntsville","AL","35896", 1, 5,"Leslie Pollard","President","2567267000","630366652","00103300",1,"www.oakwood.edu","www.oakwood.edu/admissions","www.oakwood.edu/services/financial-aid","https://my.oakwood.edu/ics/Admissions/Admissions_Homepage.jnz?portlet=Apply_For_Admissions","www.oakwood.edu/campus-services/financial-aid",2,1,2,7,1,1,20,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,9,-1,9,3,11,32,2,2,26620,1,290,-2,2," "," "
101949,"Alabama Southern Community College","2800 South Alabama Avenue","Monroeville","AL","36460", 1, 5,"Reginald Sykes","President","25157531568252","630503016","00103400",1,"www.ascc.edu"," "," "," ","www.ascc.edu",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,"Alabama College System","2515755356"
101958,"Prince Institute Southeast","7735 Atlanta Hwy","Montgomery","AL","36117", 1, 5,"Keith Werosh","Director, Campus Operations","3342711670203","364143020","02296000",1,"princeinstitute.edu","princeinstitute.edu","princeinstitute.edu","princeinstitute.edu","princeinstitute.edu",6,2,3,3,1,2,40,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,10,1,-1,4,1,1,40,2,1,33860,1,388,-2,1,"Stenograph LLC","3342711671"
101994,"Reid State Technical College","I65 and Hwy 83","Evergreen","AL","36401", 1, 5,"Dr . Douglas M Littles","President","2515781313","630510731","00569200",1,"www.rstc.edu","www.rstc.edu","www.rstc.edu","www.rstc.edu","www.rstc.edu",4,2,1,3,1,2,40,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,3,1,2,40,2,1,-2,-2,-2,-2,1,"Alabama College System","2515784824"
102030,"Bishop State Community College","351 North Broad Street","Mobile","AL","36603-5898", 1, 5,"James Lowe","President","2514057000","630507477","00103000",1,"www.bishop.edu","www.bishop.edu/admissions.html","www.bscc.cc.al.us/financial-affairs/financial-aid.html","www.bishop.edu/admissions/apply-now.html","www.bishop.edu/calculator/",4,2,1,4,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,7,1,-1,2,1,3,40,2,2,33660,1,380,-2,1,"Alabama College System","2514389523"
102049,"Samford University","800 Lakeshore Drive","Birmingham","AL","35229-2240", 1, 5,"Andrew Westmoreland","President","2057262011","630312914","00103600",1,"www.samford.edu","admission.samford.edu","www.samford.edu/financialaid","admission.samford.edu/subpage.aspx?id=2147487982","samfordnpc.com/",2,1,2,9,1,1,11,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,19,10,12,10,5,14,21,2,2,13820,1,142,-2,2," ","2057262738"
102058,"Selma University","1501 Lapsley St, Dinkins Hall","Selma","AL","36701", 1, 5,"Dr. Alvin A. Cleveland, Sr.","President","3348722533","630367461","04067300",1,"selmauniversity.org"," "," "," ","selmauniversity.org/financialaidtest.htm",2,1,2,7,1,1,20,1,1,-2,2,2,33,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,24,-2,-2,-2,5,-2,-3,2,1,42820,2,-2,-2,2," "," "
